Epoch    |                 Staked |                Rewards |            Accumulated |        Unstake Rewards |          Unstake Total |      Available Rewards
----------------------------------------------------------------------------------------------------------------------------------------------
0        |                   1.50 |                   0.00 |                   0.00 |                   0.00 |                   0.00 |                   0.00
1        |                   1.50 |                   0.00 |                   0.00 |                   0.00 |                   0.00 |                   0.00
2        |           5,633,131.22 |               6,589.23 |               6,589.24 |                   0.00 |                   0.00 |               6,589.24
3        |          22,532,520.37 |              17,468.70 |              24,057.93 |                   0.00 |                   0.00 |              24,057.93
4        |          36,615,344.66 |              25,648.32 |              49,706.25 |                   0.00 |                   0.00 |              49,706.25
5        |          47,881,604.10 |              27,279.18 |              76,985.43 |                   0.00 |                   0.00 |              76,985.43
6        |          50,698,168.96 |              26,014.70 |             103,000.13 |                   0.00 |                   0.00 |             103,000.13
7        |          63,780,993.25 |              31,468.69 |             134,468.82 |                   0.00 |                   0.00 |             134,468.82
8        |          63,780,993.25 |              30,916.33 |             165,385.15 |                   0.00 |                   0.00 |             165,385.15
9        |          63,780,993.25 |              29,378.22 |             194,763.37 |                   0.00 |                   0.00 |             194,763.37
10       |          72,230,687.82 |              31,055.23 |             225,818.60 |                   0.00 |                   0.00 |             225,818.60
11       |          72,230,687.82 |              32,005.52 |             257,824.12 |                   0.00 |                   0.00 |             257,824.12
12       |          72,230,687.82 |              31,596.81 |             289,420.93 |                   0.00 |                   0.00 |             289,420.93
13       |          72,230,687.82 |              31,258.19 |             320,679.12 |                   0.00 |                   0.00 |             320,679.12
14       |          78,561,985.00 |              33,462.15 |             354,141.27 |                   0.00 |                   0.00 |             354,141.27
15       |          78,561,985.00 |              34,238.43 |             388,379.69 |                   0.00 |                   0.00 |             388,379.69
16       |          84,195,114.72 |              36,632.49 |             425,012.19 |                   0.00 |                   0.00 |             425,012.19
17       |          84,195,114.72 |              33,554.37 |             458,566.56 |                   0.00 |                   0.00 |             458,566.56
18       |          84,195,114.72 |              33,210.41 |             491,776.97 |                   0.00 |                   0.00 |             491,776.97
19       |          84,195,114.72 |              32,953.72 |             524,730.69 |                   0.00 |                   0.00 |             524,730.69
20       |          84,195,114.72 |              32,625.31 |             557,356.00 |                   0.00 |                   0.00 |             557,356.00
21       |          87,011,679.57 |              33,433.52 |             590,789.51 |                   0.00 |                   0.00 |             590,789.51
22       |          92,644,809.29 |              35,341.61 |             626,131.12 |                   0.00 |                   0.00 |             626,131.12
23       |          92,644,809.29 |              35,182.59 |             661,313.71 |                   0.00 |                   0.00 |             661,313.71
24       |          98,277,939.01 |              37,125.35 |             698,439.06 |                   0.00 |                   0.00 |             698,439.06
25       |          98,277,939.01 |              37,101.88 |             735,540.94 |                   0.00 |                   0.00 |             735,540.94
26       |          98,277,939.01 |              37,000.73 |             772,541.66 |                   0.00 |                   0.00 |             772,541.66
27       |          98,277,939.01 |              37,014.67 |             809,556.34 |                   0.00 |                   0.00 |             809,556.34
28       |          98,277,939.01 |              36,976.63 |             846,532.97 |                   0.00 |                   0.00 |             846,532.97
29       |          98,277,939.01 |              34,672.25 |             881,205.22 |                   0.00 |                   0.00 |             881,205.22
30       |          98,277,939.01 |              34,532.65 |             915,737.87 |                   0.00 |                   0.00 |             915,737.87
31       |          98,277,939.01 |              34,529.74 |             950,267.61 |                   0.00 |                   0.00 |             950,267.61
32       |          98,277,939.01 |              34,482.89 |             984,750.51 |                   0.00 |                   0.00 |             984,750.51
33       |          98,277,939.01 |              34,461.10 |           1,019,211.60 |                   0.00 |                   0.00 |           1,019,211.60
34       |          98,277,939.01 |              34,391.45 |           1,053,603.05 |                   0.00 |                   0.00 |           1,053,603.05
35       |          98,277,939.01 |              34,380.75 |           1,087,983.80 |                   0.00 |                   0.00 |           1,087,983.80
36       |          98,277,939.01 |              34,647.55 |           1,122,631.35 |                   0.00 |                   0.00 |           1,122,631.35
37       |          98,277,939.01 |              34,185.83 |           1,156,817.18 |                   0.00 |                   0.00 |           1,156,817.18
38       |          98,277,939.01 |              34,276.10 |           1,191,093.28 |                   0.00 |                   0.00 |           1,191,093.28
39       |          98,277,939.01 |              34,914.12 |           1,226,007.40 |                   0.00 |                   0.00 |           1,226,007.40
40       |          98,277,939.01 |              34,940.69 |           1,260,948.10 |                   0.00 |                   0.00 |           1,260,948.10
41       |          98,277,939.01 |              34,912.65 |           1,295,860.75 |                   0.00 |                   0.00 |           1,295,860.75
42       |          98,277,939.01 |              34,760.45 |           1,330,621.19 |                   0.00 |                   0.00 |           1,330,621.19
43       |          98,277,939.01 |              35,083.34 |           1,365,704.53 |                   0.00 |                   0.00 |           1,365,704.53
44       |          98,277,939.01 |              35,079.03 |           1,400,783.56 |                   0.00 |                   0.00 |           1,400,783.56
45       |         103,911,068.73 |              36,742.82 |           1,437,526.38 |                   0.00 |                   0.00 |           1,437,526.38
46       |         103,911,068.73 |              36,801.63 |           1,474,328.01 |                   0.00 |                   0.00 |           1,474,328.01
47       |         103,911,068.73 |              36,538.90 |           1,510,866.91 |                   0.00 |                   0.00 |           1,510,866.91
48       |         103,911,068.73 |              36,531.17 |           1,547,398.08 |                   0.00 |                   0.00 |           1,547,398.08
49       |         103,911,068.73 |              36,577.22 |           1,583,975.30 |                   0.00 |                   0.00 |           1,583,975.30
50       |         103,911,068.73 |              36,587.20 |           1,620,562.50 |                   0.00 |                   0.00 |           1,620,562.50
51       |         103,911,068.73 |              36,504.42 |           1,657,066.92 |                   0.00 |                   0.00 |           1,657,066.92
52       |         103,911,068.73 |              36,525.00 |           1,693,591.92 |                   0.00 |                   0.00 |           1,693,591.92
53       |         103,911,068.73 |              36,475.21 |           1,730,067.13 |                   0.00 |                   0.00 |           1,730,067.13
54       |         103,911,068.73 |              36,445.12 |           1,766,512.25 |                   0.00 |                   0.00 |           1,766,512.25
55       |         103,911,068.73 |              36,441.87 |           1,802,954.12 |                   0.00 |                   0.00 |           1,802,954.12
56       |         103,911,068.73 |              36,399.91 |           1,839,354.02 |                   0.00 |                   0.00 |           1,839,354.02
57       |         103,911,068.73 |              36,409.40 |           1,875,763.43 |                   0.00 |                   0.00 |           1,875,763.43
58       |         103,911,068.73 |              36,384.34 |           1,912,147.76 |                   0.00 |                   0.00 |           1,912,147.76
59       |         103,911,068.73 |              36,394.66 |           1,948,542.42 |                   0.00 |                   0.00 |           1,948,542.42
60       |         103,911,068.73 |              36,411.54 |           1,984,953.96 |                   0.00 |                   0.00 |           1,984,953.96
61       |         103,911,068.73 |              36,336.91 |           2,021,290.86 |                   0.00 |                   0.00 |           2,021,290.86
62       |         103,911,068.73 |              36,379.23 |           2,057,670.09 |                   0.00 |                   0.00 |           2,057,670.09
63       |         103,911,068.73 |              36,338.85 |           2,094,008.94 |                   0.00 |                   0.00 |           2,094,008.94
64       |         103,911,068.73 |              36,262.62 |           2,130,271.55 |                   0.00 |                   0.00 |           2,130,271.55
65       |         103,911,068.73 |              36,204.51 |           2,166,476.06 |                   0.00 |                   0.00 |           2,166,476.06
66       |         103,911,068.73 |              36,983.96 |           2,203,460.03 |                   0.00 |                   0.00 |           2,203,460.03
67       |         103,911,068.73 |              36,606.45 |           2,240,066.47 |                   0.00 |                   0.00 |           2,240,066.47
68       |         103,911,068.73 |              36,955.66 |           2,277,022.13 |                   0.00 |                   0.00 |           2,277,022.13
69       |         108,911,068.73 |              38,594.51 |           2,315,616.64 |                   0.00 |                   0.00 |           2,315,616.64
70       |         108,911,068.73 |              38,371.64 |           2,353,988.27 |                   0.00 |                   0.00 |           2,353,988.27
71       |         108,911,068.73 |              37,936.34 |           2,391,924.62 |                   0.00 |                   0.00 |           2,391,924.62
72       |         108,911,068.73 |              36,756.80 |           2,428,681.42 |                   0.00 |                   0.00 |           2,428,681.42
73       |         108,911,068.73 |              36,803.84 |           2,465,485.26 |                   0.00 |                   0.00 |           2,465,485.26
74       |         108,911,068.73 |              36,668.96 |           2,502,154.23 |                   0.00 |                   0.00 |           2,502,154.23
75       |         108,911,068.73 |              36,645.11 |           2,538,799.33 |                   0.00 |                   0.00 |           2,538,799.33
76       |         108,911,068.73 |              36,715.88 |           2,575,515.21 |                   0.00 |                   0.00 |           2,575,515.21
77       |         108,911,068.73 |              36,617.52 |           2,612,132.73 |                   0.00 |                   0.00 |           2,612,132.73
78       |         108,911,068.73 |              36,532.74 |           2,648,665.47 |                   0.00 |                   0.00 |           2,648,665.47
79       |         108,911,068.73 |              36,526.15 |           2,685,191.62 |                   0.00 |                   0.00 |           2,685,191.62
80       |         108,911,068.73 |              36,400.25 |           2,721,591.87 |                   0.00 |                   0.00 |           2,721,591.87
81       |         108,911,068.73 |              36,340.98 |           2,757,932.85 |                   0.00 |                   0.00 |           2,757,932.85
